service_id,customer_id,service_type,start_date
1,1,Mobile,2025-01-26
2,2,Cloud,2022-08-07
3,3,TV,2025-07-04
4,4,Mobile,2024-03-23
5,5,Cloud,2023-04-07
6,6,TV,2024-09-22
7,7,Cloud,2023-01-23
8,8,Banking,2025-06-14
9,9,TV,2022-09-10
10,10,Banking,2025-04-01
11,11,Cloud,2024-01-03
12,12,Banking,2025-05-16
13,13,Banking,2023-10-15
14,14,Internet,2025-02-10
15,15,Internet,2023-06-25
16,16,TV,2022-10-28
17,17,TV,2023-07-05
18,18,Banking,2022-08-08
19,19,Cloud,2023-02-04
20,20,Internet,2024-03-23
21,21,TV,2024-04-04
22,22,Cloud,2024-11-26
23,23,Cloud,2023-07-19
24,24,Mobile,2023-01-07
25,25,Mobile,2023-07-04
26,26,Cloud,2025-07-08
27,27,Cloud,2023-04-05
28,28,Internet,2022-12-19
29,29,Banking,2025-02-11
30,30,Cloud,2023-01-08
31,31,Banking,2023-09-04
32,32,Banking,2023-07-20
33,33,Mobile,2024-01-21
34,34,Cloud,2023-02-23
35,35,TV,2024-10-24
36,36,Cloud,2023-01-14
37,37,Banking,2022-11-11
38,38,TV,2023-08-08
39,39,Banking,2022-09-04
40,40,Mobile,2023-06-15
41,41,Mobile,2023-02-16
42,42,Internet,2025-01-10
43,43,Banking,2024-04-24
44,44,Internet,2024-05-13
45,45,Banking,2024-08-17
46,46,Cloud,2022-12-26
47,47,Banking,2025-04-30
48,48,Mobile,2024-11-12
49,49,Cloud,2025-04-08
50,50,Banking,2023-08-08
51,51,Mobile,2023-10-24
52,52,Banking,2023-02-18
53,53,TV,2022-11-09
54,54,TV,2023-08-10
55,55,Banking,2023-09-13
56,56,Mobile,2024-10-31
57,57,Cloud,2025-02-10
58,58,Cloud,2023-06-16
59,59,TV,2025-05-31
60,60,TV,2023-12-14
61,61,Cloud,2022-12-13
62,62,TV,2023-03-22
63,63,Mobile,2022-10-01
64,64,Internet,2022-11-12
65,65,Banking,2024-10-28
66,66,Mobile,2023-04-02
67,67,Banking,2023-11-21
68,68,TV,2024-08-31
69,69,Cloud,2022-10-11
70,70,Mobile,2024-12-04
71,71,TV,2023-05-31
72,72,TV,2022-10-08
73,73,Internet,2023-11-02
74,74,Banking,2025-02-13
75,75,Banking,2025-07-12
76,76,Internet,2024-05-19
77,77,Cloud,2022-10-10
78,78,Internet,2025-05-10
79,79,TV,2025-05-13
80,80,Mobile,2023-09-06
81,81,Cloud,2024-06-12
82,82,Internet,2022-11-08
83,83,Mobile,2024-04-02
84,84,TV,2023-12-27
85,85,Internet,2025-02-22
86,86,Mobile,2022-09-16
87,87,Banking,2022-10-08
88,88,TV,2024-11-12
89,89,TV,2022-10-25
90,90,Banking,2023-05-12
91,91,TV,2024-06-23
92,92,Mobile,2025-03-25
93,93,Mobile,2023-10-11
94,94,Banking,2024-02-11
95,95,Banking,2022-10-22
96,96,Banking,2024-10-24
97,97,Banking,2024-01-27
98,98,Banking,2025-02-22
99,99,Mobile,2024-03-15
100,100,Mobile,2024-04-11
101,101,Mobile,2024-07-04
102,102,Cloud,2022-11-27
103,103,Banking,2023-11-09
104,104,Internet,2025-04-23
105,105,Internet,2024-09-05
106,106,Mobile,2022-08-11
107,107,Internet,2022-08-15
108,108,Internet,2024-03-19
109,109,Cloud,2025-03-16
110,110,Cloud,2022-11-16
111,111,Internet,2022-10-29
112,112,Cloud,2024-06-23
113,113,TV,2025-04-12
114,114,Mobile,2023-12-16
115,115,Banking,2023-10-19
116,116,TV,2023-06-11
117,117,Internet,2024-11-19
118,118,Mobile,2022-08-08
119,119,Cloud,2024-05-12
120,120,TV,2022-12-25
121,121,TV,2023-05-09
122,122,Internet,2024-01-19
123,123,Banking,2022-12-16
124,124,Internet,2023-04-30
125,125,Cloud,2024-09-07
126,126,Internet,2025-03-23
127,127,Internet,2024-11-27
128,128,Banking,2025-04-19
129,129,Banking,2023-08-28
130,130,TV,2022-12-30
131,131,Banking,2025-01-21
132,132,Internet,2022-07-27
133,133,Internet,2024-05-15
134,134,Cloud,2024-09-18
135,135,Banking,2024-04-21
136,136,Cloud,2024-10-31
137,137,Cloud,2022-09-17
138,138,Internet,2023-12-25
139,139,Cloud,2023-07-30
140,140,Internet,2024-11-05
141,141,TV,2023-07-03
142,142,Cloud,2024-03-12
143,143,Cloud,2025-07-12
144,144,Mobile,2024-08-27
145,145,Banking,2025-06-02
146,146,TV,2025-03-10
147,147,Mobile,2024-11-06
148,148,Mobile,2024-02-27
149,149,TV,2025-05-29
150,150,Cloud,2024-02-19
151,151,Banking,2024-02-13
152,152,Mobile,2022-07-15
153,153,Mobile,2024-01-26
154,154,Banking,2024-10-05
155,155,Internet,2024-03-21
156,156,TV,2023-03-09
157,157,TV,2024-01-07
158,158,TV,2022-11-18
159,159,Cloud,2025-01-30
160,160,Internet,2024-03-05
161,161,Cloud,2022-09-20
162,162,TV,2024-01-06
163,163,Banking,2024-11-17
164,164,TV,2023-01-27
165,165,Banking,2024-10-25
166,166,Cloud,2022-10-28
167,167,Internet,2023-08-23
168,168,Banking,2022-12-15
169,169,Internet,2023-12-30
170,170,Internet,2025-06-01
171,171,TV,2025-03-31
172,172,Internet,2023-12-10
173,173,Mobile,2023-04-17
174,174,Mobile,2024-11-22
175,175,Banking,2023-04-15
176,176,Mobile,2022-08-31
177,177,Cloud,2022-11-10
178,178,Banking,2025-04-14
179,179,Cloud,2024-07-16
180,180,TV,2025-02-23
181,181,Banking,2022-12-27
182,182,Cloud,2024-07-20
183,183,Internet,2023-08-23
184,184,TV,2025-05-27
185,185,Banking,2023-06-21
186,186,Internet,2023-10-07
187,187,Cloud,2024-10-20
188,188,Internet,2025-02-01
189,189,Internet,2024-03-20
190,190,Mobile,2025-01-13
191,191,Cloud,2024-06-16
192,192,Cloud,2023-09-18
193,193,Internet,2023-03-18
194,194,Mobile,2023-04-14
195,195,Mobile,2022-09-01
196,196,Internet,2025-05-07
197,197,Cloud,2025-06-14
198,198,TV,2022-10-02
199,199,Banking,2024-08-28
200,200,Cloud,2024-11-30
201,201,Mobile,2023-11-20
202,202,TV,2025-02-08
203,203,Internet,2024-10-02
204,204,Cloud,2023-01-07
205,205,TV,2023-07-16
206,206,TV,2023-12-31
207,207,TV,2025-04-07
208,208,Cloud,2024-06-18
209,209,Mobile,2022-10-15
210,210,Internet,2023-05-26
211,211,Mobile,2025-02-04
212,212,Mobile,2024-09-01
213,213,TV,2025-04-25
214,214,Cloud,2025-03-07
215,215,TV,2025-03-31
216,216,TV,2024-03-16
217,217,Mobile,2024-12-10
218,218,TV,2025-05-06
219,219,TV,2022-10-12
220,220,Mobile,2024-02-02
221,221,TV,2023-02-05
222,222,Banking,2024-11-08
223,223,Internet,2023-11-26
224,224,Banking,2025-02-16
225,225,Cloud,2025-03-19
226,226,TV,2023-08-21
227,227,Cloud,2024-11-14
228,228,TV,2023-10-12
229,229,Mobile,2023-10-03
230,230,Mobile,2024-05-24
231,231,TV,2024-07-08
232,232,Banking,2024-02-02
233,233,TV,2025-06-26
234,234,Internet,2023-09-03
235,235,Internet,2022-09-22
236,236,Mobile,2024-10-19
237,237,Cloud,2023-12-16
238,238,Banking,2024-09-03
239,239,Banking,2022-11-03
240,240,Internet,2025-03-06
241,241,Banking,2025-01-17
242,242,Mobile,2024-08-01
243,243,Mobile,2022-07-17
244,244,TV,2024-10-06
245,245,Banking,2023-07-25
246,246,TV,2023-09-01
247,247,TV,2023-03-29
248,248,Cloud,2023-02-15
249,249,Cloud,2024-12-15
250,250,Internet,2022-08-23
251,251,Banking,2023-03-26
252,252,Cloud,2025-01-07
253,253,Banking,2025-04-16
254,254,Internet,2023-03-22
255,255,TV,2024-09-15
256,256,Cloud,2024-01-27
257,257,Mobile,2023-08-02
258,258,Internet,2024-11-25
259,259,Mobile,2024-05-29
260,260,Banking,2023-12-14
261,261,Banking,2024-12-02
262,262,Cloud,2022-12-06
263,263,Mobile,2024-06-30
264,264,TV,2023-03-30
265,265,Cloud,2024-12-12
266,266,Banking,2023-08-08
267,267,Cloud,2023-07-04
268,268,TV,2025-06-06
269,269,Cloud,2024-06-21
270,270,Internet,2022-12-26
271,271,Cloud,2024-08-28
272,272,TV,2024-09-29
273,273,Banking,2024-03-15
274,274,Mobile,2024-08-12
275,275,Banking,2023-03-27
276,276,Internet,2022-12-26
277,277,TV,2023-10-09
278,278,Cloud,2024-10-30
279,279,TV,2024-11-13
280,280,Banking,2024-04-17
281,281,Mobile,2024-10-16
282,282,TV,2024-05-26
283,283,TV,2024-03-21
284,284,TV,2022-08-03
285,285,Mobile,2023-10-04
286,286,Banking,2023-10-17
287,287,Cloud,2023-04-03
288,288,Internet,2023-06-10
289,289,Mobile,2024-10-26
290,290,Mobile,2022-10-18
291,291,Banking,2025-03-16
292,292,Internet,2022-11-14
293,293,Cloud,2025-02-16
294,294,TV,2023-12-18
295,295,TV,2024-06-04
296,296,Mobile,2025-01-31
297,297,Internet,2022-09-09
298,298,Banking,2024-04-21
299,299,Banking,2022-12-01
300,300,Mobile,2023-05-30
301,301,Mobile,2024-04-03
302,302,Cloud,2022-09-30
303,303,Banking,2024-03-22
304,304,Mobile,2023-06-02
305,305,TV,2022-09-09
306,306,Mobile,2024-08-23
307,307,Internet,2023-10-21
308,308,TV,2024-11-21
309,309,Mobile,2023-03-31
310,310,TV,2024-09-02
311,311,Cloud,2024-03-22
312,312,Internet,2023-05-26
313,313,Internet,2024-09-14
314,314,Banking,2023-04-18
315,315,Mobile,2023-03-08
316,316,Internet,2022-07-28
317,317,Internet,2023-11-24
318,318,TV,2023-02-10
319,319,TV,2024-05-20
320,320,Mobile,2025-05-01
321,321,Cloud,2023-11-10
322,322,TV,2023-08-22
323,323,Cloud,2023-02-03
324,324,Mobile,2025-02-17
325,325,Banking,2024-02-27
326,326,Cloud,2024-01-15
327,327,Mobile,2025-02-07
328,328,Cloud,2023-02-05
329,329,Cloud,2025-06-21
330,330,TV,2025-06-16
331,331,Mobile,2024-10-27
332,332,Mobile,2024-08-16
333,333,TV,2024-01-04
334,334,Mobile,2023-09-06
335,335,Banking,2022-09-07
336,336,Cloud,2024-11-13
337,337,Internet,2023-10-21
338,338,TV,2024-05-13
339,339,Cloud,2025-05-07
340,340,TV,2025-04-11
341,341,Internet,2023-01-30
342,342,Cloud,2023-02-28
343,343,Cloud,2024-04-02
344,344,Internet,2023-07-17
345,345,Mobile,2025-04-16
346,346,Mobile,2023-05-01
347,347,Mobile,2024-07-24
348,348,Internet,2024-08-16
349,349,Mobile,2024-11-02
350,350,Internet,2025-06-02
351,351,Banking,2024-03-13
352,352,Cloud,2025-05-28
353,353,Cloud,2024-03-16
354,354,TV,2023-10-23
355,355,Internet,2024-03-14
356,356,Mobile,2024-03-12
357,357,Banking,2024-09-06
358,358,TV,2022-08-16
359,359,Cloud,2023-02-13
360,360,Mobile,2024-11-24
361,361,TV,2023-07-06
362,362,Cloud,2024-10-12
363,363,Cloud,2024-01-26
364,364,TV,2025-02-22
365,365,Banking,2024-12-29
366,366,Internet,2022-11-12
367,367,Internet,2024-12-02
368,368,Banking,2023-04-05
369,369,Cloud,2024-10-01
370,370,Internet,2023-07-13
371,371,Mobile,2022-09-09
372,372,Banking,2025-02-25
373,373,Internet,2022-12-31
374,374,Banking,2023-04-04
375,375,TV,2024-11-20
376,376,Cloud,2025-06-07
377,377,Cloud,2024-11-19
378,378,TV,2023-02-16
379,379,TV,2023-01-16
380,380,TV,2022-11-21
381,381,Mobile,2023-12-07
382,382,Mobile,2025-01-09
383,383,Banking,2024-05-29
384,384,Internet,2023-06-18
385,385,TV,2022-10-19
386,386,Internet,2024-09-20
387,387,Mobile,2022-10-13
388,388,Cloud,2024-09-17
389,389,Internet,2024-01-28
390,390,Banking,2023-10-30
391,391,Cloud,2024-04-11
392,392,Internet,2024-08-23
393,393,Mobile,2025-01-12
394,394,Internet,2024-02-01
395,395,Banking,2024-03-18
396,396,Banking,2022-07-20
397,397,Banking,2023-10-14
398,398,Mobile,2024-12-05
399,399,Mobile,2024-05-21
400,400,Internet,2023-02-25
401,401,Cloud,2025-07-03
402,402,Internet,2023-05-02
403,403,Mobile,2023-03-15
404,404,TV,2024-11-01
405,405,Mobile,2023-03-14
406,406,Cloud,2023-05-22
407,407,Mobile,2023-05-14
408,408,Banking,2024-07-16
409,409,Banking,2024-10-30
410,410,TV,2023-05-24
411,411,Internet,2024-06-28
412,412,Cloud,2023-04-16
413,413,Mobile,2024-01-08
414,414,Banking,2023-06-30
415,415,Mobile,2023-04-22
416,416,Banking,2024-05-26
417,417,TV,2023-03-22
418,418,Mobile,2024-05-30
419,419,Cloud,2025-06-07
420,420,Mobile,2022-11-15
421,421,Mobile,2023-02-23
422,422,Internet,2024-01-01
423,423,Mobile,2023-12-14
424,424,TV,2023-07-03
425,425,Cloud,2024-05-20
426,426,Banking,2025-03-29
427,427,Banking,2024-06-16
428,428,TV,2024-10-02
429,429,Internet,2022-12-10
430,430,Cloud,2024-07-31
431,431,Banking,2025-03-01
432,432,Cloud,2024-03-19
433,433,Cloud,2023-03-04
434,434,Internet,2025-04-10
435,435,Internet,2025-03-10
436,436,Internet,2023-08-05
437,437,Cloud,2024-08-16
438,438,Cloud,2024-03-12
439,439,Internet,2022-07-18
440,440,Banking,2024-11-24
441,441,TV,2024-05-03
442,442,Internet,2024-08-27
443,443,Internet,2023-04-21
444,444,Banking,2023-02-05
445,445,Banking,2025-03-18
446,446,Banking,2025-02-02
447,447,Mobile,2023-09-27
448,448,Internet,2024-11-23
449,449,Mobile,2023-04-03
450,450,Mobile,2023-06-24
451,451,Cloud,2023-01-19
452,452,Mobile,2023-05-23
453,453,Cloud,2022-11-27
454,454,TV,2022-10-14
455,455,TV,2022-09-01
456,456,Mobile,2023-04-12
457,457,Banking,2025-01-21
458,458,Cloud,2025-05-20
459,459,Banking,2024-06-04
460,460,Mobile,2023-03-12
461,461,TV,2024-12-01
462,462,Banking,2024-06-13
463,463,Mobile,2025-05-21
464,464,Cloud,2024-07-17
465,465,Cloud,2024-01-08
466,466,Cloud,2022-11-05
467,467,Banking,2025-04-27
468,468,Cloud,2024-05-24
469,469,TV,2024-04-29
470,470,Banking,2025-06-03
471,471,Mobile,2024-08-30
472,472,Banking,2023-01-11
473,473,TV,2023-04-09
474,474,Mobile,2025-02-18
475,475,Cloud,2023-06-08
476,476,Internet,2025-01-31
477,477,Internet,2024-11-18
478,478,Mobile,2025-01-06
479,479,Internet,2025-04-30
480,480,Banking,2024-09-04
481,481,Mobile,2023-10-29
482,482,Internet,2022-10-20
483,483,Cloud,2022-08-19
484,484,TV,2024-10-05
485,485,TV,2023-07-31
486,486,Mobile,2022-09-07
487,487,Banking,2022-09-28
488,488,Cloud,2023-10-03
489,489,Mobile,2025-02-17
490,490,Cloud,2025-07-03
491,491,Cloud,2022-08-10
492,492,TV,2024-07-31
493,493,Mobile,2025-02-21
494,494,TV,2022-12-29
495,495,Internet,2022-12-16
496,496,Banking,2024-08-29
497,497,Internet,2023-02-20
498,498,Internet,2024-04-11
499,499,TV,2025-04-29
500,500,Mobile,2025-03-22
